기관명,기관명(영문),소속기관,기관 구분,학술지한글명,학술지외국어명,P-ISSN,E-ISSN,대분류,중분류,사용언어,등재구분,창간년도,발행간기
한국해법학회,,,학회,한국해법학회지,The Journal of Korea Maritime Law Association,1598-0812,,사회과학,법학,한국어,등재,1979,연2회
한양법학회,Han Yang Law Association,,학회,한양법학,HAN YANG LAW REVIEW,1226-8062,,사회과학,법학,한국어,등재,199002,연4회
한국항공우주정책⋅법학회,Korea Society of Air & Space Law and Policy,,학회,항공우주정책 ·법학회지,The Korean Journal of Air & Space Law and Policy,1598-8988,,사회과학,법학,한국어,등재,1989,연4회
한국해사법학회,The Korea Institute Of Maritime Law,,학회,해사법연구,MARITIME LAW REVIEW,1598-1053,2671-8235,사회과학,법학,한국어,등재,1989,연3회
행정법이론실무학회,Korea Administrative Law And Practice Association(약칭 KALPA),,학회,행정법연구,Administrative Law Journal,1738-3056,,사회과학,법학,한국어,등재,199706,연3회
한국행정법학회,Korean Administrative Law Association,,학회,행정법학,Korean Journal of Administrative Law,2287-5778,,사회과학,법학,한국어,등재,201109,연2회
한국행정판례연구회,Korea Public Administration Case Study Association,,학회,행정판례연구,Studies on Public Administration Cases,1599-7413,,사회과학,법학,한국어,등재,1992,연2회
헌법재판연구원,Constitutional Research Institute,,학회,헌법재판연구,Journal of Constitutional Justice,2383-8108,,사회과학,법학,한국어,등재,2014,연2회
한국헌법학회,,,학회,헌법학연구,Constitutional Law,1229-3784,2733-8959,사회과학,법학,한국어,등재,1995,연4회
한국형사법학회,The Korean Criminal Law Association,,학회,형사법연구,Journal of Criminal Law,1598-0979,1598-0979,사회과학,법학,한국어,우수등재,1988,연4회
대검찰청,,,일반기관,형사법의 신동향,Contemporary Review of Criminal Law,1976-5789,,사회과학,법학,한국어,등재,200604,연4회
한국형사소송법학회,The Korean Association of Criminal Procedure Law,,학회,형사소송 이론과 실무,Theories and Practices of Criminal Procedure,,2765-530X,사회과학,법학,한국어,등재,200912,연4회
한국형사정책학회,Korean Association Of Criminology,,학회,형사정책,Korean Journal Of Criminology,1226-2595,,사회과학,법학,한국어,등재,1986,연4회
한국형사법무정책연구원,Korean Institute of Criminology,,일반기관,형사정책연구,Korean Criminological Review,1225-7559,3058-860X,사회과학,법학,한국어,등재,199009,연4회
한국형사판례연구회,Korean Association of Criminal Case Studies,,학회,형사판례연구,Korean Journal of Criminal Case Studies,1225-6005,,사회과학,법학,한국어,등재,1993,연1회
법학연구소,The Law Reasearch institutute of Hongik Univ.,홍익대학교,대학부설연구소,홍익법학,Journal of hongik law review,1975-9576,,사회과학,법학,한국어,등재,200702,연4회
비교법학연구소,"Institute of Comparative Legal Studies, Kangwon National  University",강원대학교,대학부설연구소,환경법과 정책,Environmental Law and Policy,1976-3743,2713-9786,사회과학,법학,한국어,등재,200812,연3회
한국환경법학회,Korean Environmental Law Association,,학회,환경법연구,Environmental Law Review,1225-116X,,사회과학,법학,한국어,등재,1979,연3회
한국채무자회생법학회,The Korean Association of Rehabilitation Bankruptcy Law,,학회,회생법학,Korean Law Review for  Rehabilitation and Bankruptcy,2093-6923,,사회과학,법학,한국어,등재,2010,연2회
